country,code,year,exportacao de materias primas_agricolas,importacao de materias primas_agricolas,porcentagem da populacao rural,gastos com educacao ajustados,porcentagem da populacao com acesso a agua potavel,porcentagem da populacao com acesso a saneamento basico,porcentagem da populacao feminina,populacao_total,indice de gini,porcentagem da populacao vivendo com menos de 50% da renda mediana,continent
South Sudan,SSD,2018,,,80.385,1.7627250334384,40.981506,14.45063554,49.9563043621658,10975924.0,,,Africa
Sweden,SWE,2018,3.91914723705363,1.30071401386854,12.569,7.13059532798427,99.82620051,99.28848273,49.9457761669857,10175214.0,30.0,10.8,Europe
Canada,CAN,2018,4.49836039972621,0.844354705339755,18.589,4.93,99.22363119,99.08828896,50.3915299543153,37065178.0,,,North America
Kiribati,KIR,2018,,,45.943,6.1,76.36123063,44.81107834,50.8485696034254,115842.0,,,Oceania
South Korea,KOR,2018,0.948202981647715,1.36663501982733,18.541,4.63873508046876,99.74793655,99.94703154,49.9168817920843,51606633.0,,,Asia
"Macedonia, Republic of",MKD,2018,0.438739836126919,0.796948523709629,42.037,3.2684286969097,97.63263069,97.23607252,49.9664659424078,2082957.0,33.0,17.4,Europe
Malawi,MWI,2018,1.33919509731051,2.4732829515586,83.063,4.62239937584421,68.50613036,25.9966614,50.7015156905763,18143215.0,,,Africa
Trinidad and Tobago,TTO,2018,,,46.816,2.87,98.87517077,93.91521101,50.591326633766,1389841.0,,,North America
South Africa,ZAF,2018,2.3224445478998,1.01326772533598,33.645,6.04534376205142,93.10863459,76.68318836,50.6941503848595,57792520.0,,,Africa
Bosnia and Herzegovina,BIH,2018,5.2647751193804,1.15228794825258,51.755,,96.13317676,95.38506184,51.0105360252881,3323929.0,,,Europe
Indonesia,IDN,2018,5.09433375837987,2.88939244712523,44.675,3.26727736964161,90.88029952,81.2661059,49.6438821889217,267670549.0,37.8,,Asia
Slovenia,SVN,2018,1.93015467096011,2.50341578744957,45.459,4.53585929957264,99.5,98.08099205,50.2452070327013,2073894.0,24.6,5.3,Europe
Samoa,WSM,2018,0.226798352020621,2.69184495454186,81.757,4.24,91.83885866,96.75969164,48.2562408223201,196128.0,,,Oceania
Kuwait,KWT,2018,0.0466209960162232,0.50475932143634,0.0,3.19,100.0,100.0,39.5481706247096,4137314.0,,,Asia
Seychelles,SYC,2018,0.0020302070595744,0.95965458102403,43.309,4.53711062755462,96.2508915,100.0,48.6549117350197,96762.0,32.1,14.3,Africa
Malaysia,MYS,2018,1.69191106235624,1.76045058437326,23.964,4.3216664404343,97.08077154,99.57900442,48.5785205819849,31528033.0,,,Asia
"Bahamas, The",BHS,2018,0.586012491027111,1.80144404299758,16.975,3.8356,98.8869605,94.93058233,51.4250521866532,385635.0,,,North America
Japan,JPN,2018,0.682840306838562,1.62976094135692,8.384,2.72828226892087,99.03988571,99.93018785,51.1592591291078,126529100.0,,,Asia
Greece,GRC,2018,1.52778018630932,0.864155243503712,20.942,3.1,100.0000023,98.98675045,50.916201905221,10732882.0,32.9,13.8,Europe
Sierra Leone,SLE,2018,9.4328913027291,1.64713128081492,57.945,2.71351434082158,61.40860038,15.86048135,50.1212721477712,7650149.0,35.7,7.5,Africa
"Gambia, The",GMB,2018,0.246748535987422,0.579209620148194,38.73,2.66,80.25284714,46.61215733,50.4021328963919,2280092.0,,,Africa
Philippines,PHL,2018,0.941254944822009,0.663464434210372,53.093,1.84,93.27349616,79.43866535,49.7416573851815,106651394.0,42.3,13.0,Asia
Benin,BEN,2018,56.5932263832395,1.01386198971528,52.688,2.93313927876377,65.17792394,16.07343638,50.098201703347,11485035.0,,,Africa
Somalia,SOM,2018,,,55.029,0.991144636141377,53.3865147,37.16507321,50.1333502129666,15008225.0,,,Africa
Bermuda,BMU,2018,0.0084015550514622,0.651455072086472,0.0,1.6155989572169,99.90314002,99.90314002,,63919.0,,,North America
Romania,ROU,2018,1.11395663355088,1.72335886561317,46.002,2.81,100.0,85.43642436,51.343743063071,19473970.0,35.8,18.1,Europe
Vanuatu,VUT,2018,,,74.726,4.53578814296847,91.20332244,52.66691625,49.2888015717092,292675.0,,,Oceania
